code,res
W06000023,360
S12000045,542
W06000023,359
S12000045,542
W06000023,357
S12000045,542
W06000023,356
S12000045,542
W06000023,356
S12000045,540
W06000023,356
S12000045,540
W06000023,356
S12000045,540
W06000023,356
S12000045,539
W06000023,355
S12000045,539
W06000023,355
S12000045,538
W06000023,355
S12000045,537
W06000023,355
S12000045,534
W06000023,354
S12000045,531
W06000023,354
S12000045,530
W06000023,354
S12000045,530
W06000023,354
S12000045,527
W06000023,354
S12000045,527
W06000023,353
W06000023,353
W06000023,353
W06000023,351
W06000023,347
W06000023,346
W06000023,337
W06000023,333
W06000023,332
W06000023,332
W06000023,332
W06000023,329
W06000023,329
W06000023,327
W06000023,326
W06000023,325
W06000023,305
W06000023,304
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,302
W06000023,301
W06000023,301
W06000023,300
W06000023,300
W06000023,300
W06000023,300
W06000023,299
W06000023,299
W06000023,299
W06000023,298
W06000023,297
W06000023,296
W06000023,296
W06000023,296
W06000023,296
W06000023,296
W06000023,296
W06000023,296
W06000023,296
W06000023,295
W06000023,295
W06000023,295
W06000023,292
W06000023,292
W06000023,290
W06000023,287
W06000023,287
W06000023,286
W06000023,286
W06000023,285
W06000023,285
W06000023,284
W06000023,283
W06000023,281
E07000006,7447
E07000067,15315
E07000094,8981
E07000125,10465
E07000155,8098
E07000169,9211
E07000187,7286
E07000203,5811
E07000234,10718
E08000037,26075
E09000024,23608
S12000039,10943
W06000002,6931
W06000009,6620
S12000039,10827
W06000002,6864
W06000009,6556
S12000039,10746
W06000002,6773
W06000009,6518
S12000039,10623
W06000002,6612
W06000009,6415
S12000039,10371
W06000002,6551
W06000009,6345
S12000039,10371
W06000002,6551
W06000009,6345
S12000039,10179
W06000002,6447
W06000009,6284
S12000039,9975
W06000002,6361
W06000009,6246
S12000039,9839
W06000002,6300
W06000009,6169
S12000039,9725
W06000002,6199
W06000009,6062
S12000039,9539
W06000002,6022
W06000009,5910
S12000039,9369
W06000002,5954
W06000009,5857
S12000039,9205
W06000002,5954
W06000009,5857
S12000039,9034
W06000002,5849
W06000009,5762
S12000039,8891
W06000002,5787
W06000009,5676
S12000039,8780
W06000002,5668
W06000009,5542
S12000039,8634
W06000002,5504
W06000009,5393
S12000039,8544
W06000002,5504
W06000009,5393
S12000039,8371
W06000002,5433
W06000009,5321
S12000039,8200
W06000002,5433
W06000009,5321
S12000039,8049
W06000002,5348
W06000009,5231
S12000039,7915
W06000002,5244
W06000009,5146
S12000039,7765
W06000002,5198
W06000009,5063
S12000039,7647
W06000002,5137
W06000009,5029
S12000039,7530
W06000002,5045
W06000009,4856
S12000039,7451
W06000002,4984
W06000009,4801
S12000039,7354
W06000002,4984
W06000009,4801
S12000039,7254
W06000002,4934
W06000009,4715
S12000039,7151
W06000002,4865
W06000009,4614
S12000039,7083
W06000002,4816
W06000009,4550
S12000039,7034
W06000002,4777
W06000009,4541
S12000039,7002
W06000002,4680
W06000009,4453
S12000039,6965
W06000002,4620
W06000009,4417
S12000039,6934
W06000002,4620
W06000009,4417
S12000039,6914
W06000002,4592
W06000009,4358
S12000039,6888
W06000002,4519
W06000009,4302
S12000039,6848
W06000002,4519
W06000009,4302
S12000039,6821
W06000002,4496
W06000009,4296
S12000039,6815
W06000002,4449
W06000009,4262
S12000039,6788
W06000002,4421
W06000009,4247
S12000039,6753
W06000002,4421
W06000009,4247
S12000039,6725
W06000002,4396
W06000009,4224
S12000039,6701
W06000002,4373
W06000009,4201
S12000039,6671
W06000002,4366
W06000009,4184
S12000039,6651
W06000002,4348
W06000009,4170
S12000039,6637
W06000002,4305
W06000009,4145
S12000039,6585
W06000002,4285
W06000009,4129
S12000039,6585
W06000002,4285
W06000009,4129
S12000039,6553
W06000002,4261
W06000009,4112
S12000039,6526
W06000002,4238
W06000009,4092
S12000039,6507
W06000002,4220
W06000009,4079
S12000039,6475
W06000002,4205
W06000009,4066
S12000039,6449
W06000002,4176
W06000009,4040
S12000039,6419
W06000002,4156
W06000009,4004
S12000039,6395
W06000002,4156
W06000009,4004
S12000039,6358
W06000002,4133
W06000009,3984
S12000039,6328
W06000002,4112
W06000009,3978
S12000039,6298
W06000002,4101
W06000009,3953
S12000039,6265
W06000002,4088
W06000009,3946
S12000039,6239
W06000002,4053
W06000009,3880
S12000039,6217
W06000002,4025
W06000009,3852
S12000039,6177
W06000002,4025
W06000009,3852
S12000039,6156
W06000002,4005
W06000009,3837
S12000039,6125
W06000002,3978
W06000009,3828
S12000039,6077
W06000002,3954
W06000009,3808
S12000039,6032
W06000002,3934
W06000009,3802
S12000039,5996
W06000002,3901
W06000009,3784
S12000039,5954
W06000002,3883
W06000009,3777
S12000039,5920
W06000002,3883
W06000009,3777
S12000039,5871
W06000002,3844
W06000009,3771
S12000039,5813
W06000002,3826
W06000009,3765
S12000039,5733
W06000002,3790
W06000009,3751
S12000039,5694
W06000002,3769
W06000009,3735
S12000039,5656
W06000002,3733
W06000009,3707
